snapshot_id,source_id,target_id,edge_id,raw_flow,effective_flow,capacity_p95,utilization,interruption_fraction,imputation_method,confidence_score,split
2021-06-01,24,29,29,12328.541992,12328.541992,12328.541992,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,25,24,25,12328.541992,12328.541992,12328.541992,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,26,27,26,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,27,26,26,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,27,28,27,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,28,27,27,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,28,30,28,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,29,24,29,13003.407227,13003.407227,13003.407227,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,29,32,32,1430.123779,1430.123779,1795.750000,0.796394,0.000000,segment_train_mean,0.700000,train
2021-06-01,30,28,28,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,30,31,30,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,31,30,30,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,31,32,31,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,32,29,32,1446.634888,1446.634888,1815.400024,0.796868,0.000000,segment_train_mean,0.700000,train
2021-06-01,32,31,31,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,32,36,33,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,32,43,34,13003.407227,13003.407227,13003.407227,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,33,34,36,1550.583374,1550.583374,1550.583374,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,33,53,35,1597.100830,1597.100830,1597.100830,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,34,33,36,1597.100830,1597.100830,1597.100830,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,34,44,45,1550.583374,1550.583374,1550.583374,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,35,23,37,1070.150757,1070.150757,1504.000000,0.711536,0.000000,segment_train_mean,0.700000,train
2021-06-01,35,37,40,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,35,38,38,1068.319580,1068.319580,4658.187500,0.229342,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,36,32,33,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,36,37,39,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,37,35,40,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,37,36,39,4501.975586,4501.975586,4501.975586,1.000000,0.000000,hour_train_mean,0.400000,train
2021-06-01,38,35,38,1037.705078,1037.705078,4658.187500,0.222770,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,38,39,41,3559.446533,3559.446533,7675.125000,0.463764,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,38,48,53,6422.754395,6422.754395,7694.700195,0.834698,0.000000,segment_train_mean,0.700000,train
2021-06-01,39,38,41,3554.963867,3554.963867,7675.125000,0.463180,0.000000,br_direction_hour_train_mean,0.600000,train
2021-06-01,39,40,42,3554.963867,3554.963867,3554.963867,1.000000,0.000000,br_direction_hour_train_mean,0.600000,train
